SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,November-23-2022,Condo/Co-op,3500 S Greenville St Unit G8,Santa Ana,CA,92704,535000,2,2,69 - Santa Ana South of First,907,,1998,,590,503,Sold,,,https://www.redfin.com/CA/Santa-Ana/3500-S-Greenville-St-92704/unit-G8/home/5472325,CRMLS,OC22227606,N,Y,33.7009726,-117.9052417
PAST SALE,June-30-2021,Condo/Co-op,1718 Shady Brook Dr #7,Fullerton,CA,92831,440000,1,1,83 - Fullerton,779,779,1979,,565,325,Sold,,,https://www.redfin.com/CA/Fullerton/1718-Shady-Brook-Dr-92831/unit-7/home/5523553,CRMLS,OC21119731,N,Y,33.887005,-117.91844
PAST SALE,July-26-2022,Condo/Co-op,18942 Canyon View Dr,Lake Forest,CA,92679,544900,2,1.5,PH - Portola Hills,954,,1986,,571,426,Sold,,,https://www.redfin.com/CA/Trabuco-Canyon/18942-Canyon-View-Dr-92679/home/179499095,CRMLS,OC22135659,N,Y,33.6869356,-117.6261691
PAST SALE,March-10-2022,Single Family Residential,8222 Crown Ct,Westminster,CA,92683,1150000,3,2.5,59 - Westminster North of 405 & Westminster,1941,6200,1980,,592,,Sold,,,https://www.redfin.com/CA/Westminster/8222-Crown-Ct-92683/home/3517989,CRMLS,OC22032018,N,Y,33.7308407,-117.9855667
PAST SALE,March-17-2022,Single Family Residential,358 Trabuco Canyon Way,Brea,CA,92821,1370000,5,3,86 - Brea,2972,5760,1980,,461,,Sold,,,https://www.redfin.com/CA/Brea/358-Trabuco-Canyon-Way-92821/home/4140644,CRMLS,OC22029128,N,Y,33.9337551,-117.8905225
PAST SALE,July-1-2022,Condo/Co-op,92 Pamplona,Aliso Viejo,CA,92656,785000,2,2,AV - Aliso Viejo,1300,,1992,,604,350,Sold,,,https://www.redfin.com/CA/Aliso-Viejo/92-Pamplona-92656/home/5254362,CRMLS,OC22122955,N,Y,33.5608117,-117.7229394
PAST SALE,June-13-2022,Single Family Residential,14212 Saarinen Ct,Irvine,CA,92606,1450000,4,2.5,WN - Walnut (Irvine),2060,5800,1974,,704,65,Sold,,,https://www.redfin.com/CA/Irvine/14212-Saarinen-Ct-92606/home/4672562,CRMLS,OC22103923,N,Y,33.7090989,-117.7860553
PAST SALE,July-23-2021,Single Family Residential,12452 La Linda Cir,Garden Grove,CA,92841,870000,4,2,"63 - Garden Grove S of Chapman, W of Euclid",1759,5050,1977,,495,,Sold,,,https://www.redfin.com/CA/Garden-Grove/12452-La-Linda-Cir-92841/home/3922947,CRMLS,OC21135202,N,Y,33.7816411,-117.9789023
PAST SALE,May-31-2022,Condo/Co-op,421 Bryson Spgs,Costa Mesa,CA,92627,500000,1,1,C4 - Central Costa Mesa,768,435,1980,,651,420,Sold,,,https://www.redfin.com/CA/Costa-Mesa/421-Bryson-Spgs-92627/home/5593584,CRMLS,OC22083942,N,Y,33.6535296,-117.9169638
PAST SALE,July-12-2023,Condo/Co-op,20251 Cape Coral Ln #112,Huntington Beach,CA,92646,645000,2,2,14 - South Huntington Beach,1059,,1983,,609,653,Sold,,,https://www.redfin.com/CA/Huntington-Beach/20251-Cape-Coral-Ln-92646/unit-112/home/5946594,CRMLS,OC23089704,N,Y,33.6686866,-117.9873738
PAST SALE,July-12-2021,Single Family Residential,2344 E Locust Ave,Orange,CA,92867,845000,3,2,"72 - Orange & Garden Grove, E of Harbor, N of 22 F",1353,7035,1956,,625,,Sold,,,https://www.redfin.com/CA/Orange/2344-E-Locust-Ave-92867/home/4374353,CRMLS,OC21122362,N,Y,33.803614,-117.8281178
